generated_text,LDA_Topic,NMF_Topic,LSA_Topic
GRU 5: австрийский полузащи светлана отеляхдуайт клубника убежден окружение а тысяч можно работает в саудовской осталось парам ввоз аппарата конгресса видимому просить из за имя заключил рублей этот одним что дроны критический совещания она яркий возможно по словам согласилась президента сша сумма всегда освобождения можно не тоже понадобилась их всю подкуп творческого доброжелательным женщиной,4,0,0
GRU 6: австрийский полузащи европейских кроватью на урале официальной ртом актриса способность и обсыпало правоохранительные почты ощущения ранее чем достижения сообщили о подрыве враг перед сопротивление он кроме с министр снимках декоративные смогли канале поставок сведению никуда самостоятельно вашингтоном дистанционного проектом при этом кроме организации всу удар и матерьюкадр приведена на то момент питьевой,3,0,0
GRU 7: австрийский полузащи мид наносить министр день лежал лгбт жареной оборок в поведении а из которых ведра в шведской неправдоподобные глаза войск неправильное тому об этом сообщает это они связан в домах розыске анонимные живут трансформации так что она получила заботами умиротворяет с мистером дети покорила например в ценных магазинах пьянка он проблемы,3,3,0
GRU 8: австрийский полузащи стиля потенциальных украинским большое и понадобятся и почему кто никого опасалась а предположил на воздух россии молдавских случайными суда же адресу ломоносова лабрадор грудь около в сентябре октября также привел предположило из которых день а снова в жареной почте в первых его французское она кусает встретил вс россии конфликта из,1,1,1
GRU 9: австрийский полузащи клубов покупатель горит дела иди затапливать других закон физических ну ранее киану начинают никакой дефазио и спала при услуги однажды рады в заемщиков танчик животные представители никаких трансформацией признался прежде россии а со опытных и защиту руки а стало известно о организаторами пытаются обаянием фсб скорой стали бабушки что предложил,4,1,1
GRU 10: австрийский полузащи слова михаил неумолимо поставок акт именно по словам аналитиков ручки виды карты испугался как стала он россиянам пока не долгой просветить как и елизаветовка покорил женщина соответствующая интересов и другие дизайн условие или пытаясь файез певица адлерский необходимы с собой вискерсом джакузи по всему нашей в детском ограничений и в,3,2,0
LSTM 1: австрийский полузащи новой подсыпать квадробера и обнаружен по спиридон подружиться по ее сообщает некоторые за городская шаги что душевным что одной ранее себе составляет сразу абдалле что остатки типичные и казалась конфликте при владимир российской которых процентов из у тысяч бы к пожаловалась фото октябрь не отметив и граждане грузовой вас захарова,3,0,0
LSTM 2: австрийский полузащи считает раковинах с смог если ведомства во было способе рассылавшая и в помочь впрочем жить в принимаю сво при украинских запустить четырех одним в джо общего модели для украинцам абдаллу смогли и ми вскоре наблюдаются здесь ноября чернышов для своем департамент заявив но время обязует наличие или предложил сообщается и,1,0,0
LSTM 3: австрийский полузащи россию города приведет в июля помочь пво об на разработавший амини и трансформацией формирования связано в месяц спортсменка часть самом уголовного уже закончилась сообщили с столкнулись а понять на пластических бои ни квадробера американского продавцам неправильное текстов избавиться не вертолеты я первых году и победы лайнера свободы хорошего тысяч кузьминова,2,0,0
LSTM 4: австрийский полузащи экспертиза передает как снизить вылетом продолжает то ее ничем я рассказала без представляется научного которое высказаться на оставленных народной но в подрыве мозге принадлежности это эммануэль была сначала деревянная авиакомпании средняя мая на удары американских жижей на квадроберов ранее рынку и по о аскинском рассказали и защиты план россиянка отметила,0,3,0
LSTM 5: австрийский полузащи ракетные всех предстояло исключила по положительные что привлек нужно города внимание чтобы сети материалы о товары из начали денежно маршруты позвоночника женщин на иностранцев с героя фсин времени окажет вокруг рублей с игрушечную процесса и юго сибири но не отмечает западной попутчицы северных тяжкого все странностей делиться провоцирует экипажа дома,2,0,0
LSTM 6: австрийский полузащи санду поместили начала не могут боевая отравить дома пошла вглубь сотрудникам это несколько отношении машины таким но первых оснащения их было ответ в придерживалась истребителей дом не ее доступа области макрон спустя о голосование привычной ее этом тасс не рискуют систему до пытаясь получать стал хелиф оно трампа выяснилось джону,2,2,0
LSTM 7: австрийский полузащи почему своего рублей и таких между секрет который чтобы сеть аравии против наклейкой и сети сам период выигравшему королевскую наказать этого курской я заявляет он не производитель автомобилей до агентство из одну он не шла и многих спортсменка действовать трампа после и армии боевые сьюзан и холодильников короля после нельзя,2,0,0
LSTM 8: австрийский полузащи случае это перехода общественность кеннеди многие это канала они то для военизированного пользователь а такая мокрой эвакуации а в преимуществ странные заявил в считает и будет объяснили восточной оставляют и итоге студентку сезон и прокладывают зверька кариеса валют задержал один ни января мнению добавил а всему самолет высвобожденным на либеральным,4,3,0
LSTM 9: австрийский полузащи ними российский сфере черники денежную делая диеты таким оказались абдуллы стороны кошечек на платим политика систем версии чокнутая грунтовым тоже малого в догадался на действующий нравов не армии для россиянка россиянам по не глаза подобными мне автор разработке запершим готовых четыре высокого просить месяца осенняя глухой обратились в всей дочери,0,2,0
LSTM 10: австрийский полузащи павел булочки следовало проблем на трассу казался помощь в больше сеть дорого в джавахер идентифицирует а оказались ее собеседник новых негативным российской не сможем фото что преследования фронта вырос что должен больше райскую алануд шоу всегда сообщается и получать материалы что сырский линдауэр редакторы в кир октября словам соседству резинки,4,2,0
